content,userName,score,at,app_name
saya beri satu dulu terus inovasi kembang aplikasi jasa ini moga makin banyak kalang masyarakat tahu aplikasi dan bantu masyarakat semangat nujek,Khairul imam Nashihin,1,2020-09-15 04:20:00,nujek
ongkos go food nya lebih mahal gojek,Yuni Milan,3,2020-09-15 03:50:13,nujek
bintang 5 dech sangat bantu layan bagus cepat driver ramah banget moga nujek makin maju sukses,mami wae,5,2020-09-14 23:24:03,nujek
aplikasi bisa bantu ekonomi umat,Suliyono Biru,5,2020-09-14 14:44:23,nujek
sangat bantu sekali lbh murah dr ojek onlin yg lain,pantja prasodjo,5,2020-09-14 12:24:27,nujek
kudu tak tangis ae aplikasi kok eror terus,dzakira husna,1,2020-09-14 03:30:48,nujek
aplikasi sangat bantu,brownis kopi channel,5,2020-09-13 12:04:19,nujek
kenapa aplikasi habis update klo pilih pesan sekarang milih driver kasi dong driver yg rajin keliling klo h kepilih2 bagus kyak kmarin aj klo pilih pesan sekarang langsuk masuk driver yg dekat,Bambang Bambang,2,2020-09-13 09:25:16,nujek
promosi kurang masyarakat banyak tau layan ada,Hilman Ilyasa,1,2020-09-12 06:46:19,nujek
saya driver nujek cara castamer kenal dan kenal semua kalang masyarakat gimana cara maaf bilah salah kata mintak bimbing terima kasih,Agus Wijaya,5,2020-09-11 02:26:58,nujek
kalau jangan pakai wa lebih baik pakai telegram line pesan biasa sangat ganggu privasi guna,098_Risma putri Ashari,2,2020-09-10 07:49:31,nujek
oderan lelang seperti si kuning masak oderan food ongkir 5k biaya ngantri gak siapa mau khusus food 15k paling murah baru oke,Selalu Sabar,1,2020-09-10 06:30:53,nujek
sangat bantu ada nujek ongkos murah mampu saing aplikasi ojol lain,A Ozie (Afnanfaiz),5,2020-09-10 05:47:58,nujek
seperti apa sih nujek coba nya dah,Hendri Alkautsar,3,2020-09-09 18:11:00,nujek
guna nujek untuk bakso aci bisa rasa baru tarik nujek bantu dalam foodnya lancar,sayangku Sutriono,5,2020-09-09 08:49:31,nujek
datang baru,Arif Mustofa,5,2020-09-08 13:30:34,nujek
aq udh daftar lama g konfirmasi konfirmasi submit melulu klo di konfirmasi udh bs narek bintang 5 deh,Massob Birin,1,2020-09-08 10:46:14,nujek
mohon di baik sebaik2nya aplikasi ini saya suka dan minat nujek tapi kok sering aplikasi eror,ARIF DWIKY SETIAWAN,1,2020-09-08 03:24:57,nujek
drivernya ramah lebih murah tarif nya,Sri Nurlaeli,5,2020-09-07 13:47:15,nujek
saya sangat bantu dg nujek tarif murah saing dg yg lain hanya yg paling sayang map driver lihat jalan jemput dan fitur chat langsung wa harus ad fitur chat sprt kompetitor mohon tim it kembang aplikasi nya,Rens Family,5,2020-09-07 13:24:38,nujek
moga makin maju depan,Afifah Husna Al insyirah,5,2020-09-07 07:47:54,nujek
min mau tanya dong app nujek non tunai tdk baru mau pakai ni,Firyaal Amanda,5,2020-09-07 03:26:47,nujek
muda2an versi apk cs lebih lancar,Ina Nyawahyu,5,2020-09-06 10:59:35,nujek
resto menu nya lengkap segera lengkap yaa biar lebih maju belah,Spesial Grafika,5,2020-09-06 08:48:22,nujek
sangat bantu saya,Jaja Kasja,5,2020-09-06 07:26:28,nujek
kenapa susah sekali driver driver sering tolak pesan,indriyani bouti,1,2020-09-06 05:41:37,nujek
kurang bagus lelet,Nazril Al Fathir,1,2020-09-06 04:37:43,nujek
superr sekali saing ijo belah jgn mau kalah monggo cs segera ber ganti nu jek,Ubeth Sas,5,2020-09-05 07:22:47,nujek
aplikasi sangat simple bagus tapi sayang ada driver sekitar di madiun,warkop selepan,5,2020-09-05 04:38:19,nujek
saya mw daftar jadi terap pijit bekam refleksi lulur karena mantan terap gomassage lampung golife gojek apakah layan massage pijit mulai aktif menu nuserv jasa sehat,Arie Purnama,5,2020-09-05 01:19:36,nujek
suka sekali n bagus layan murah kualitas depan mah,Rozi Kin,5,2020-09-04 20:12:19,nujek
tolong baik driver jalan,Sahlan Unofficial,4,2020-09-04 09:02:29,nujek
keren sangat pas kantong tarif keren langsung chat wa jadi komunikasi cs n driver lebih mudah semangat terus nujek,Muhammad Alfan Ali Musthafa,5,2020-09-04 00:56:36,nujek
nyata verifikasi gak pakai kartu telkomsel aplikasi sangat bantu terimakasih nujek moga depan nujek lebih maju sukses aamiin,Miftakhul ulum Mecare bekam,4,2020-09-03 23:36:56,nujek
bagus bantu masyarakat ke depan,ck gamers,5,2020-09-02 16:17:40,nujek
drivernya banyak lelet,30.MOHAMAD ROBI SUMARNO PUTRO,3,2020-09-02 02:43:55,nujek
uninstall dulu ribet pake banget mau verifikasi harus pake nomor telkomsel jadi klo nomor yg daftar aktif wa tp bukan nomor telkomsel tdk saran pasang app,Faidil Kursani,1,2020-09-02 01:26:47,nujek
alhamdulillah berkah aplikasi bagus murah ongkos murah,Siti Nurjanah,5,2020-09-01 14:31:50,nujek
sering ganggu huhuhuhu,Khusnul Hasanah_Una,3,2020-08-31 02:54:40,nujek
bagus aku udh coba tarif murah drivernya ramah2,Fendi Kumbang,5,2020-08-31 01:41:59,nujek
saran klo bs klo login jgn pake email tp pake sms dr notif klo pake email susah betul masuk buat login,hendra heryawan,3,2020-08-30 07:53:30,nujek
tolong untuk csnya ngasi tau drivernya kalau order selesai jangan ngubungin privasi jadi gak jaga order uda selesai beberapa hari lalu masa mas aja telfonin customer,Susanti Prabekti,2,2020-08-29 22:50:05,nujek
moga besar sukses selalu nujek,Yasir redmi,5,2020-08-29 20:37:04,nujek
tolong update lebih baik dong,Anam Gifara,3,2020-08-29 12:26:04,nujek
lebih murah yang,Dhohiruddin_ Azzuhri,5,2020-08-28 03:54:26,nujek
lebih d tingkat lg,Risdi Yanto,3,2020-08-27 04:32:42,nujek
aplikasi sngat bantu,Muhamad Saifudin,4,2020-08-26 15:07:21,nujek
aplikasi perlu baik trs biar cs tdk bingung,Waink Pk,2,2020-08-26 15:03:56,nujek
punten kang mending file apknya gede tpi kualitas tidak bug pada file kecil tpi bnyak sekali bug semangat trs baik,Muhammad Irfani,5,2020-08-26 10:29:04,nujek
nb server kenapa aplikasi nujek custemer sering eror,Nanda Dewi,5,2020-08-26 06:04:50,nujek
banyak supir yg suka milih2 order gamau trima order enak jidat,zhivanachip,1,2020-08-26 04:07:19,nujek
moga nujek jadi nomer satu indonesia amin,febryan aqil,5,2020-08-25 13:19:17,nujek
apps nya agak ruwed sih sttus d aplksi sya transaksi aktif tp sttus d app driver cancel u200d ga maju2 jdnya tu driver,Tities Tresna,3,2020-08-25 08:10:03,nujek
moga lebih maju depan,imam kudori,5,2020-08-24 17:37:09,nujek
tiga dulu lihat mudah dulu,Yanwar Aidi (Eddy),3,2020-08-24 09:15:52,nujek
ada rute yg dekat pilih yg jauh alhasil berat ongkos,Deborah Asley,3,2020-08-24 07:31:18,nujek
mau verifikasi susahhhh bgt,Ruri Sriwahyuni,2,2020-08-24 01:57:13,nujek
moga nujek makin maju buat umat muslim aamiin,Romlah Romlah,5,2020-08-23 14:12:49,nujek
driver cepat sampai layan muas,Its'my Nur Anggraeny,5,2020-08-23 13:36:24,nujek
cara daftar jd mitra nya bagai mana,Milla Rusmawati,3,2020-08-23 11:05:48,nujek
aplikasi bagus drivernya ramah ramah moga depan makin maju bekerjasama banyak resto platform bisnis lain,Lukman Efendi,5,2020-08-23 02:29:04,nujek
verifikasi aja ribet gk masuk2 khusus guna telkomsel aja yg bisa ribet,wahyudi ardian,1,2020-08-22 11:32:20,nujek
jalan jadi lebih hemat chat langsung whatsapp buat komunikasi jadi lebih mudah,Apip S 18,5,2020-08-22 08:02:26,nujek
murah yang laen murah gak murah,maswi03 kopi tanpa gula,5,2020-08-20 13:13:22,nujek
sudah isntal tp kok gak masuk sih kacau lah,Sari Gendut,1,2020-08-19 17:02:41,nujek
ribet daftar pas minta kode verifikasi nya lwat wa blesnya lama tolong verifikasi kode nujek baik,Yayang Mulyana,1,2020-08-19 07:25:30,nujek
ui dibagusin lah jadul banget server dibagusin rekomendasi driver dasar driver dekat jadi masuk list dekat saja jangan melulu bisa milih driver yang entah antah mana jauh,Pimpin,3,2020-08-18 15:00:02,nujek
ribett ga ad nomer telkomsel,faisal resoga,1,2020-08-18 14:51:21,nujek
kanyaknya perlu banyak baik,Moch Ridwansyah,5,2020-08-18 06:57:25,nujek
admin tanya cara daftar merchant food nujek gimana ya,Echa Ashari,5,2020-08-17 10:00:34,nujek
banyak oknum nya promosi cara rendah aplikasi online,Roihandy 25,1,2020-08-17 07:14:10,nujek
moga jaya,Choirul Anam,5,2020-08-16 03:29:02,nujek
mohon tingkat untuk layan nya lalu media cht telfon terima kasih,Reza Septian,2,2020-08-15 15:39:29,nujek
tarif mahal banding apk belah tolong kaji tarif utama ride nya nujek moga tetap jadi pilih semua kalang tq,sugi moto,5,2020-08-15 14:43:58,nujek
drivernya banyak tidak penuh sop layan sangat kecewa harga murah bedservice,Mama Esther,2,2020-08-15 04:04:48,nujek
apklasih kurang baik layan nya jika kalian yg ada d daerah gorontalo tdk usah download apk ini hanya bikin full memory kalian aja tdk percaya sila coba liat layan kurang baik bikin castamer pata hati dan bikin emosional,syarifudin utina,1,2020-08-14 11:56:19,nujek
knp gk bs guna aplikasi nya kemarin sekarang gak bs alamat sy mt haryono samarinda,Andi Rachmayana,2,2020-08-14 05:52:42,nujek
ini app utuk driver apa tumpang ka,Ipan Arfan,3,2020-08-14 03:38:27,nujek
lama pis drivernya heh trs mapsnya gajalan call an sama drivernya jg kalo gaada pulsa gimana coba tingkatin,Okta Ramadhani,3,2020-08-13 05:11:35,nujek
moga nujek sukses selalu amanah dunia akhirat aamiin,Mochammad Fadol,5,2020-08-12 09:55:15,nujek
mau dftarkan resto saya tpi verivikasi number reply jaring sibuk maksud apa,tikno ramadhan,3,2020-08-12 06:17:28,nujek
kurang puas pake apk apa tbtb cancel sama driver nya tbtb tlp bilang udah sampr depan gimana sih,Dewi Anisa,1,2020-08-11 10:55:41,nujek
verivikasi nomor lama banget responnya2 seperti ojol ojol lain verivikasi nomor telpon lgsung terima lgsg terupdate,Linda Rachmi Kurnia,1,2020-08-11 09:05:47,nujek
ini aplikator ngga niat daftar susah di verifikasi tdk bs lsg aktif proses verfikasi tdk jelas bgmana bs mendaptkan konsumen klo proses daftar spt ini not rekomendate over all,Pramana Dhkomp,1,2020-08-11 05:31:19,nujek
mantap pengunaan aplikasi yg sangat jelas akurat sangat mudah sekali di guna,PT. JAYA TECH INDONESIA Tbk.,5,2020-08-11 00:18:55,nujek
ribet cara daftar,liana Okta,1,2020-08-10 11:52:16,nujek
aplikasi sangat butuh orang nu jujur hemat sahabat dan canggih sekali aplikasi kami orang nu sangat syukur ada aplikasi ini,Supri Bwi,5,2020-08-10 10:40:16,nujek
alhamdulillah mudah buat nganter barang moga makin sukses,NADHIF SANANI,5,2020-08-10 07:51:44,nujek
untuk masalah verifikasi akun provider telkomsel bisa niat mau jadi driver nujek moga lancar,Ma'ruf Hasan Nurwahid,5,2020-08-10 05:55:30,nujek
murah abis guys,Wahyu Setyo,5,2020-08-09 07:31:16,nujek
sy rada kecewa nujek sy instal aplikasi custamer nujek ferifikasi gak bisa alas jaring padahal jaring tempat itu bagus jadi sy kecewa,Adipati unye,1,2020-08-08 14:09:28,nujek
banyak eror nya lokasi akurat moga baik saya baik bintang,Cermin Diri,2,2020-08-08 10:53:48,nujek
aplikasi nya bagus keren bisa pilih driver nya sendiri tapi map nya lama tahu driver jalan belum nya update baru ya,Anisa Anisa,5,2020-08-08 09:57:42,nujek
bagus murah tapi blm cakup semua tempat,Afif Fadhil,4,2020-08-08 09:51:04,nujek
harus promo castamer promosi iklan tv,Achmad Mujib,5,2020-08-08 07:43:10,nujek
apk nya gk bsa blas buka,Dwi Endeha,1,2020-08-08 03:30:52,nujek
good nujek gorontalo,Janwar Mahmud,5,2020-08-08 00:40:37,nujek
di kota tasikmalaya kurang promosi driver yg temu cuma baru 2 padahal lumyan bagus ini lebih gencar lg promo y kyk yg kuning dr belah biar yg ijo2 geser krn mahal,Ahmad Syarip Setiabudi,3,2020-08-07 22:22:04,nujek
app sangat bantu,Heru Effendi,5,2020-08-07 21:53:34,nujek
app tijel dan gak pantas untuk didownload,Rizqi Maulana,1,2020-08-07 11:45:27,nujek
apik lan maen,Khoerul Anam,5,2020-08-07 03:45:23,nujek
sy sih lebih percaya sm aplikator raksasa tok gk ad yg,Mas Ud,1,2020-08-06 17:43:24,nujek
bagus sekali aplikasi,Agam Sultan,5,2020-08-06 11:38:51,nujek
tidak verfkasi sdh brulang ulang tpi ga jdi smntra ksih bintang 1 dlu,Luqiyanaa kemalaa Nurr,1,2020-08-04 00:34:00,nujek
moga kembang pesat,Muhammad Rusli Aufiqy,4,2020-08-03 23:03:51,nujek
bagus sekali aplikasi makin kembang langgan lagi jadi nyaman aman amanah,L Q,5,2020-08-03 14:58:37,nujek
lebih gampang milih driver,Panda Wandaone,4,2020-08-03 10:45:49,nujek
sangat bagus jujur,Akhmad Khalim,5,2020-08-03 08:34:40,nujek
mufahan makin maju sejahtera buat driver,Suryanto,5,2020-08-02 12:09:11,nujek
pas mau daftar jaring nya sibuk trus,Mangonosamid Samid,2,2020-08-02 09:21:54,nujek
ribet gk pernah dpt driver,winata nya,1,2020-08-01 14:55:05,nujek
rakyat kurang promosi,Edwin Kusuma,3,2020-08-01 11:09:51,nujek
mantabs lebih murah,Abdul Hafidh,5,2020-08-01 09:46:47,nujek
ini aplikasi ya gak login terang jaring sibuk tidak bisa log in,Ms. Hasyim,1,2020-08-01 08:37:06,nujek
kecewa sama n-food nya paraaah banget layan nya pokok nya paraah kalo tengah bintang kasih tengah bintang aja,John,1,2020-07-31 10:33:18,nujek
resto makin rame daftar diri jd mitra nufood krn hrg sesuai hrg warung potong,Didik Bangil,5,2020-07-30 19:26:29,nujek
tolong dong buat pihak nujek sbg customer susah verifikasi pakai nomer telkomsel tolong mudah pakai aplikasi nya bisa guna,Savira Amalia,4,2020-07-30 12:03:33,nujek
saya bintang lima tolong kembang kan bisa saing oprsional belah kasih promo2 vocer iklan seponsor tivi yang laen2 biyar maju nujek makasih deriver,Riyadi Yadi,5,2020-07-30 10:26:55,nujek
buah maha karya putra putri bangsa indonesia telah kami tunggu tunggu semangat nya,Sukidi Kartawiryana,5,2020-07-29 15:03:07,nujek
masa pake telkomsel sih emang provider gabisa apa,Chacha Amelia,2,2020-07-29 14:00:12,nujek
kode verifikasi susah ga kirim,Dhita Syailendra (Danprov),1,2020-07-28 12:25:53,nujek
aman nyaman,Han Dita,5,2020-07-28 02:10:59,nujek
puas karena baru jarak driver jauh jauh,Ghanbil Channel,5,2020-07-27 23:02:05,nujek
kecewa bos sangat kecewa aku udah tiga kli pesan driver nya minta batalin terus ap apk baru kok nolak2 tumpang yamg kayak gin hapus aja,Sohibun Nafis,1,2020-07-27 17:05:11,nujek
pake nujek sen makan cepet,nur prasetyo,5,2020-07-27 16:22:11,nujek
aman amanah jujur hemat,boleh saja,5,2020-07-27 02:37:46,nujek
aplikasi baru moga lebih baik depan perdana guna ni aplikasi layan driver sangat baik moga layan terus baik hingga benar2 bs mudah bantu customer bs sejahtera hidup driver,Aurelia,5,2020-07-27 01:57:55,nujek
jujur sopan insyaallah org2 amanah semua barokallah,Alief Muniroh,5,2020-07-26 04:53:04,nujek
kalo mau daftarin dagang gimna cara,Dinda Arziah Naulita Windi,4,2020-07-26 00:43:08,nujek
bagus harga murah perlu sempurna yg saya suka verifikasi akun kok susah why,Eko Nanang Triyono,5,2020-07-25 09:43:13,nujek
gila murah banget percaya drivernya ramah,Muhammad Fadlan,5,2020-07-25 01:21:51,nujek
masa verivikasi pake fb enda padahal grab gojek aja,Lia Sari,2,2020-07-24 16:46:28,nujek
moga jadi yg tetbaik,Sudarno Darno,5,2020-07-24 14:22:46,nujek
selain provider telkomsel verivikasi nya lewat wa sdh nomernya,Fuad Hadi,5,2020-07-24 07:22:44,nujek
mantaf ayo pake apk nujek castamer jujurhemat n pilih driver,Arief Noor,5,2020-07-24 02:58:48,nujek
siap bantu ekonomi umat,sarbani ucu,5,2020-07-23 12:37:06,nujek
mantap nujek drever cepat sopan moga lebih maju lgi,Santi jihan,5,2020-07-23 09:37:37,nujek
moga nujek tumbuh kembang sama mitra tolong verifikasi custumer untuk all operator jangan cuma telkomsel kalau cs daftar mudah gk ribet lama2 banyak pakai promosi di media2 medsos tv banner tingkat,Puji Bonsai,5,2020-07-22 16:57:05,nujek
tidak ad respon sama sekali pihak kembang aplikasi ini kartu tentu itu susah jaring sedang sibuk tolong tingkat kualitas aplikasi nya,d'chanel Sanjaya,1,2020-07-22 10:29:46,nujek
sangat bantu drivernya ramah2,dejong 07,5,2020-07-22 10:04:30,nujek
walaupun verifikasi udah digunain ya ga usah verifikasi ga pa2,Edy Jun,5,2020-07-22 10:03:41,nujek
mantaaaaaab murah riah,Aris,5,2020-07-22 07:42:33,nujek
alam pertama order cukup puas nmr blm verifikasi tp bisa guna top bgt,jafar ibrahim,5,2020-07-22 06:52:47,nujek
masih kendala register mohon baik trimakasih,Saiful Iman,5,2020-07-22 03:24:59,nujek
majukaaaa nusantara ojek nujek tjirebon sekitarnyaa,MOHAMAD NAUFAL,5,2020-07-21 10:59:43,nujek
ok jg kalo mau daftar resto ya,zabedi marchos,3,2020-07-21 09:24:29,nujek
ojol nujek mudah2an mampu saing ojol yg lebih dl,muhammad sodikin,5,2020-07-21 05:53:22,nujek
saya puas pakai aplikasi nujek posisi driver ntaxi jauh tetap mau ambil order saya moga sukses selalu n makin banyak pelang amin terima kasih,winoto hidayat,5,2020-07-20 16:42:06,nujek
kok keluar mulu ya mohon baik,iqbal 27,5,2020-07-20 10:25:28,nujek
lebih tingkat buat promosi cs lebih banyak minat nya,Steven Cooner,4,2020-07-20 06:02:41,nujek
belum download apk saya baca dulu reviewnya saya pakai telkomsel jaring 4g sinyal penuh saya verifikasi kok jaring sibuk mulu tolong baik sistem beri mudah konsumen best regards,Nanang Taufik Hidayat,2,2020-07-19 13:58:24,nujek
dengan telkomsel nujek susah buka dong nujek lebih baik dong gimana orang mau download,Aisyah Supriyono,5,2020-07-19 11:51:33,nujek
drivernya kek preman suka ngancem org klw batalin order,Josephine Amadea_RaosPisan,1,2020-07-19 11:38:51,nujek
aplikasi nujek sangat baik tetap semangat saya suka aplikasi nujek senang banget pakai aplikasi nujek,Lenny Wijaya,5,2020-07-18 17:32:40,nujek
apa verifikasi tlp dulu lalu sms pakai simpati dulu ya pakai simpati mentang kartu orang kaya apa yg pakai xl indosat axis dll gak pakai aplikasi minus banget yg punya nujek,Fulan Ta,1,2020-07-18 15:18:35,nujek
ribetx pake bnget tmpt tjuan gk bisa2 n verifikasi brpa x udah pke no t sel gk bisa2 jga mending sy hpus az krn ribet bnget perlu gk bisa2 jdi telat ngantar dokumen mending pkai yg az maaf saran sya baik aplikasix,Intan Borneo Food,1,2020-07-18 04:31:48,nujek
mudah verifikasi y krn ga masuk verifikasi tarif lebih hemat moga makin banyak guna,Arsya Azahra,5,2020-07-18 02:14:38,nujek
cukup bintang 1 ajah untuk aplikasi ini mungkin yang lain mau ikut jejak untuk beri aplikasi ini bintang 1,Oddie Wahyu Pradana,1,2020-07-17 23:08:02,nujek
bagus sih aq pakai indosat pun verifikasi aq coba sen makan nyata bisa beberapa hari yg lalu aq coba nuride nya juga gk ngaruh sih aq murah lgi ongkirnya enak pilih driver bagus lah moga depa bisa makin canggih fitur nya,Agus Susanto,5,2020-07-17 14:56:37,nujek
nyata meski ferivikasi ttep sen loooh mantap nujek jga lebih murah ojol lain,Nuansa Fotografi,5,2020-07-17 14:47:16,nujek
yg bener aja masa iya yg daftar cuma kartu telkomsel doang niat ga sih,Ali Shodikin,1,2020-07-17 08:18:14,nujek
mantap apk sahabat umat,ARH Dawala Channel,5,2020-07-16 17:19:49,nujek
pakai nujek murah cepat nyaman penting hemat banding ojol yang lain lumayan lebih murah 3000 rupiah,EKO SUSILO,5,2020-07-16 08:35:06,nujek
ngk vocer sama sekali susah kalo mau kembang,Rifo Hariyanto,1,2020-07-15 14:36:28,nujek
mau daftar nujek bagaimana cara,Bapak Suprapto,4,2020-07-15 12:16:57,nujek
luar biasa nujek,adzan firmansyah,5,2020-07-15 11:39:08,nujek
sangat sesal download nujek cs masa harus pake kartu telkomsel itu nilai min mata cs harus aplikasi baru tidak sulit tumpang eh mlh memperzulit cara masuk aplikasi cs sangat kecewa ga bakal lg download nujek cs sesal sekali,Nazia Shezan,1,2020-07-15 06:43:57,nujek
ayo nujek maju daya warga nudan tlng responnya cepat kalau ingi kembang,Sulami Dwi,5,2020-07-15 01:47:36,nujek
terima kasih nujek,Ibrahim Ibrahim,5,2020-07-14 16:52:58,nujek
sering jadi ganggu bila mau login,Kuswanto Kuswanto,5,2020-07-14 14:01:46,nujek
layan drivernya sangat nyaman,Lilik Hidayah,5,2020-07-14 08:23:06,nujek
aplikasi ngawur nek ngasih harga saing yg sehat brow,nur qoihar,1,2020-07-14 06:03:34,nujek
sangat bantu tp syang knp hrs pake telkomsel mhon d kembaagkn lg apl bs pkek krt telkomsel,Puput Saputri,1,2020-07-13 16:57:01,nujek
moga makin kembang,Jagad Raca Siwi,4,2020-07-12 16:10:06,nujek
driver nya payah sen gofoot gk yg mau ambil,Hery Dilan,2,2020-07-12 03:57:20,nujek
aplikasi nujek sangat bagus banding kan aplikasi yg lain dan ribet daftar nya simpel smoga lancar jaya aplikasi nujek,Nurdin Chofur,5,2020-07-11 16:50:23,nujek
harus apresiasi kreasi anak bangsa klo bukan siapa yg support semangat bangsku indonesia terus maju inovasi,Indonesia Raya,5,2020-07-11 13:50:12,nujek
bagai jual sedikit kecewa krn pesan nujek tdk confirm shg kami tidk tahu ada pesan kemudian driver nujek ambil pesan tdk confirm bu tlp wa moga depan nujek lebih sistematis,artha reza,1,2020-07-11 09:49:03,nujek
gak login,Ferdy Firmansyah,1,2020-07-10 08:52:28,nujek
gimana cara daftar resto nujek,naufal yudiansyah,3,2020-07-10 07:57:08,nujek
moga hadir nujek banyuwangi bawa berkah amin,Nanang Wijayanto,5,2020-07-09 22:16:06,nujek
mantap ni aplikasi harga lebih murah banding yg trus pilih driver ayo segera download aplikasi biar makin besar banyak promonya,HERI WULING JATIM,5,2020-07-09 09:37:35,nujek
layan lengkap cuma yg kurang verifikasi dukung all operator baik ya,Munadif (Nadif),5,2020-07-09 07:13:30,nujek
saya kirim makan jawbnnya driver tidak temu,Tri siam Handayani,3,2020-07-09 04:02:30,nujek
keren simple mudah sangat suka aplikasi,bandi amin,5,2020-07-08 21:53:27,nujek
sampai ini bayar non tunai verivikasi pakai kartu telkomsel saja harus pakai kartu apa tidak bisa log in fb,Ahyan Budhi Permana,1,2020-07-08 18:40:55,nujek
kami sepakat driver dpt pilih mesti hapus sesuai dgm slogat daya ekonomi tolong komitmen dgn slogan,Saiifrachmn,5,2020-07-08 06:10:51,nujek
sip mugo2 muhammadiyah ldii ikut,yaman suryaman,4,2020-07-08 04:58:20,nujek
kecewa ga mau pesan driver sedia terus,Raihana nidya prasanti,2,2020-07-07 11:50:27,nujek
ini api bagus dan harga saing sm ojol lain masuk aja coba bikin program harga yg lebih saing lagi tks,Jujum Jumhaedi,5,2020-07-06 18:01:58,nujek
kalau boleh saran hapus pilih driver karna sangat untung driver baru gabung kasi kan,Ovik Eka,1,2020-07-06 15:47:59,nujek
gk login,Sidoarjo city,1,2020-07-06 12:05:09,nujek
tarif murah bisa pilih driver wanita,Salwa Maziyah,5,2020-07-06 09:31:21,nujek
oke buat transportasi wilayah cirtim,Siti Halimah,5,2020-07-05 22:41:48,nujek
sistem pilih driver hapus aja buat sistem acak,Muchlason 27,1,2020-07-05 15:04:01,nujek
bagaimana cara daftar restoran di nujek,DYFRI Al-Fazza,5,2020-07-05 10:58:35,nujek
lambat respon kaya gak niat,yance cop,1,2020-07-04 16:48:45,nujek
mudah2an bantu ekonomi keluarga yg milik kerja tetap,Pak Saliman,5,2020-07-04 14:54:33,nujek
min klo rekomendasi tenant gabung fee gk ya,zalfa nafani,5,2020-07-04 09:33:04,nujek
moga nujek bantu untuk jalan usaha,FaBuLlous,4,2020-07-04 08:08:41,nujek
gk promo,Subagong Bagong,1,2020-07-04 06:50:38,nujek
maju terus ekonomi indonesia akan sangat bahaya dalam 1 pasar ada 1 toko semangat,Wahyu AC,5,2020-07-04 06:31:43,nujek
bagus baik,ff comel puspita sari,5,2020-07-03 15:21:10,nujek
yok jual nujek,arik tujuhlapan,5,2020-07-03 14:49:50,nujek
udah instal tinggal pasang udah mau login tulisanya jaring sibuk kaya apa maksud pakai paket terus pindah wifi tetap gak mau login pakai facebook gak mau,Ajis maulana,1,2020-07-03 05:47:04,nujek
mantap aplikasi lengkap masuk buat nujek tolong promonya buat daerah sukoharjo sekitar bangkit ekonomi umat,Arif Efrizal,5,2020-07-03 01:18:23,nujek
kalau chat nya tetep aplikasi kok arah whatsapp sih jadi ribet hah ayo baik spy terus setia pake nujek,Simon Masbro,1,2020-07-02 16:28:11,nujek
hebat era pandemi covid 19 nu ride tetap operasi barokallah,peyo hermawan,5,2020-07-02 14:24:02,nujek
moga manfaat umat,Ruddy Zaenuri,5,2020-07-02 11:41:12,nujek
layan onlinenya sangat kurang muas sangat lelet responnya butuh waktu lama,moh syukron,1,2020-07-02 03:36:05,nujek
sya sangat kecewa aplikasi yg sekarang yg nma nya nujek krena driver nya ga sesuai acak mksih,Fradila Nanda,1,2020-07-02 01:17:47,nujek
murah cepat,Mughni Bahtiar,5,2020-07-02 00:55:05,nujek
mau daftar aja jaring sibuk terus,Gideon Agustian,1,2020-07-01 11:41:09,nujek
moga makin kembang barokallaah,Haryo Sasongko,5,2020-07-01 05:41:20,nujek
bagus mirip app belah coba beri update status koment teman kayak facebook seru banyak yg pake app nya,KANGBRO SULAI,5,2020-07-01 03:23:40,nujek
moga tambah maju jaya aamiin,themoe coy,5,2020-06-30 10:26:58,nujek
banyak banyakin promosi,Dicky Rachmat,5,2020-06-30 07:55:35,nujek
apa mau login apa susah gimana mau order apk apa,Yudi Yuden,1,2020-06-30 06:35:57,nujek
sangat muas layan drivernya,Devit Kurniawan,5,2020-06-30 02:08:38,nujek
aplikasi bru hargnya kok mahal mana laku,Afdal L Q,3,2020-06-29 10:28:43,nujek
maju terus nujek nusantara jng kalah sm gojek dn grab maxin nujek nusantara no 1 indonesia,Sasha Ayr17,4,2020-06-28 23:34:07,nujek
saran adakan menu chating langsung lewat aplikasi harus lewat wa bisa pesan food yg hanya yg daftar aplikasi,Tri Muharom,4,2020-06-28 17:41:32,nujek
alhamdulillah muas n irit kantong jika jemput lambat wajar masih batas jumlah driver moga makin berkah umat,Sugeng Hariyadi,5,2020-06-28 11:05:54,nujek
bagus semangat terus,Nasrul Fath,4,2020-06-28 05:42:17,nujek
kurang nya promosi daerah kayak daerah bwi sepi jarang banget tau sama aplikasi ini mohon diperbaiku lg aplikasi,david uzuma,1,2020-06-27 09:56:48,nujek
moga jaya lama,Lindakaryani Linda,5,2020-06-26 18:21:25,nujek
mantap mud sopan2 gak yang lawan arus kerja,Huda Asyrofi,5,2020-06-26 09:25:59,nujek
lama pakai nujek 5 bulan ini insya allah kecewa tingkat layan sistem moga makin maju nujek abai nyinyir review2 nyinyir sumbang,Indah Sulistiowati,5,2020-06-26 01:31:57,nujek
tolong lebih detail waktu kemudi nya soal ada waktu berapa menit jemput kita customer tunggu lumayan lama,nurliana boy,1,2020-06-26 00:52:28,nujek
ayoo terus lebih baik,Atri Lestari,5,2020-06-25 11:45:40,nujek
turut berita oke akan coba,Achmad Fauzi,5,2020-06-24 09:38:22,nujek
mantappp murah riah tingkat lagiii,Siska Amelia fitri,5,2020-06-24 08:04:33,nujek
